Filename, Date modified, File type
"/bobcat/primo_static_html/bhs/links.html", 2010 Sep 3, HTML
"/bobcat/primo_static_html/nyhs/links.html", 2010 Apr 9, HTML
"/bobcat/primo_static_html/nysid/help.html", 2010 Oct 18, HTML
"/bobcat/primo_static_html/nysid/links.html", 2010 Oct 18, HTML
"/bobcat/primo_static_html/nyuad/footer.html", 2010 Mar 9, HTML
"/bobcat/primo_static_html/nyuad/help.html", 2010 Mar 9, HTML
"/bobcat/primo_static_html/nyuad/links.html", 2010 Mar 9, HTML
"/bobcat/primo_static_html/nyurd/help_reserves.html", 2011 Mar 9, HTML
"/bobcat/location.html", 2011 Feb 28, HTML
"/bobcat/Untitled.swf", 2010 Jan 26, SWF
"/collections/about.html", 2007 Oct 3, HTML
"/collections/archives.html", 2010 Jun 11, HTML
"/collections/ejournals.html", 2010 Mar 17, HTML
"/collections/ereserves.html", 2009 Feb 11, HTML
"/collections/howtomusic.html", 2009 Feb 5, HTML
"/collections/howtoscreenplay.html", 2008 Jul 31, HTML
"/collections/index.html", 2010 Aug 3, HTML
"/collections/policies/compsci.html", 2010 Nov 12, HTML
"/collections/policies/educatio.html", 2007 Oct 3, HTML
"/collections/policies/fales_dwntwn.html", 2007 Oct 3, HTML
"/collections/policies/fales_food.html", 2007 Oct 3, HTML
"/collections/policies/fales.html", 2007 Oct 3, HTML
"/collections/policies/foodnutr.html", 2007 Oct 3, HTML
"/collections/policies/french.html", 2007 Oct 3, HTML
"/collections/policies/germlit.html", 2007 Oct 3, HTML
"/collections/policies/govdoc.html", 2007 Oct 3, HTML
"/collections/policies/health.html", 2008 Sep 5, HTML
"/collections/policies/hospitality.html", 2007 Oct 3, HTML
"/collections/policies/italit.html", 2007 Oct 3, HTML
"/collections/policies/lat-am.html", 2007 Oct 3, HTML
"/collections/policies/lbgq.html", 2007 Oct 3, HTML
"/collections/policies/leisure.html", 2007 Oct 3, HTML
"/collections/policies/linguist.html", 2007 Oct 3, HTML
"/collections/policies/math.html", 2007 Oct 3, HTML
"/collections/policies/music.html", 2007 Oct 3, HTML
"/collections/policies/neareast.html", 2007 Oct 3, HTML
"/collections/policies/northhx.html", 2007 Oct 3, HTML
"/collections/policies/perfarts.html", 2007 Oct 3, HTML
"/collections/policies/philosop.html", 2007 Oct 3, HTML
"/collections/policies/physastr.html", 2007 Oct 3, HTML
"/collections/policies/psycho.html", 2007 Oct 3, HTML
"/collections/policies/pubadmin.html", 2011 Mar 2, HTML
"/collections/policies/religion.html", 2007 Oct 3, HTML
"/collections/policies/scihist.html", 2007 Oct 3, HTML
"/collections/policies/slavic.html", 2009 Jul 1, HTML
"/collections/policies/sociol.html", 2008 Jun 18, HTML
"/collections/policies/socwor.html", 2007 Oct 3, HTML
"/collections/policies/spapor.html", 2007 Oct 3, HTML
"/collections/policies/tamiment.html", 2007 Oct 3, HTML
"/collections/policies/undoc.html", 2007 Oct 3, HTML
"/collections/policies/weuross.html", 2007 Oct 3, HTML
"/collections/policies/women.html", 2010 Mar 27, HTML
"/collections/policies/afc.html", 2007 Oct 3, HTML
"/collections/policies/africana.html", 2007 Oct 3, HTML
"/collections/policies/anthro.html", 2007 Oct 3, HTML
"/collections/policies/applied.html", 2007 Oct 3, HTML
"/collections/policies/archive.html", 2007 Oct 3, HTML
"/collections/policies/art.html", 2007 Oct 3, HTML
"/collections/policies/asia.html", 2007 Oct 3, HTML
"/collections/policies/biology.html", 2007 Oct 3, HTML
"/collections/policies/business.html", 2007 Oct 3, HTML
"/collections/policies/chemistry.html", 2007 Oct 3, HTML
"/collections/policies/classics.html", 2007 Oct 3, HTML
"/collections/policies/coldeveu.html", 2007 Oct 3, HTML
"/collections/policies/complit.html", 2007 Oct 3, HTML
"/collections/policies/economics.html", 2007 Oct 3, HTML
"/collections/policies/engamlit.html", 2007 Oct 3, HTML
"/collections/policies/envscien.html", 2007 Oct 3, HTML
"/collections/policies/policy.html", 2008 Sep 5, HTML
"/collections/ScoresSearchGuideAug06.pdf", 2007 Apr 24, PDF
"/collections/bb8.pdf", 2007 May 17, PDF
"/collections/find_notes.jpg", 2007 May 17, JPG
"/collections/find_notes2.jpg", 2007 May 17, JPG
"/collections/rism/index.html", 2008 Jan 15, HTML
"/collections/investext.html", 2007 Oct 3, HTML
"/collections/bb4.pdf", 2008 Feb 12, PDF
"/collections/1.jpg", 2008 Aug 1, JPG
"/collections/howtovideos.html", 2009 Feb 18, HTML
