Filename, Date modified, File type
"/mentor/guide/phpmyadmin/lang/slovenian-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/slovenian-windows-1250.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/spanish-iso-8859-1.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/spanish-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/swedish-iso-8859-1.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/swedish-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/thai-tis-620.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/thai-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/turkish-iso-8859-9.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/turkish-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/ukrainian-utf-8.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/sync_lang.sh", 2002 Sep 18, SH
"/mentor/guide/phpmyadmin/lang/ukrainian-windows-1251.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/afrikaans-iso-8859-1.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/lang/brazilian_portuguese-iso-8859-1.inc.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/.cvsignore", 2002 Aug 26, CVSIGNORE
"/mentor/guide/phpmyadmin/ANNOUNCE.txt", 2002 Aug 14, TXT
"/mentor/guide/phpmyadmin/CREDITS", 2001 Aug 19, 
"/mentor/guide/phpmyadmin/ChangeLog", 2002 Nov 19, 
"/mentor/guide/phpmyadmin/Documentation.html", 2002 Nov 18, HTML
"/mentor/guide/phpmyadmin/Documentation.txt", 2002 Nov 18, TXT
"/mentor/guide/phpmyadmin/INSTALL", 2001 Aug 3, 
"/mentor/guide/phpmyadmin/LICENSE", 2001 Aug 3, 
"/mentor/guide/phpmyadmin/README", 2002 Aug 14, 
"/mentor/guide/phpmyadmin/TODO", 2001 Aug 3, 
"/mentor/guide/phpmyadmin/badwords.txt", 2002 Apr 17, TXT
"/mentor/guide/phpmyadmin/db_create.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_datadict.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_common.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_db_info.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_export.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_importdocsql.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/sql.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_links.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_qbe.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_details_structure.php", 2002 Nov 19, PHP
"/mentor/guide/phpmyadmin/db_printview.php", 2002 Nov 19, PHP
